Course Name,Course Code
Business English,BIT 113
Computer Network,BIT 124
C-Programming,BIT 115
Math-I,BIT 116
Basic Computer Architecture,BIT 112
Internet Fundamental & Applications,BIT 111
Math-II,BIT 125
Advance Computer Network,BIT 121
Java Programming,BIT 243
Operating System,BIT 235
Digital Logic,BIT 126
Data Structure and Algorithm,BIT 234
Industrial Management,MWS 362
Web Technology,BIT 233
E-Commerce,BIT 232
Database Management System,BIT 231
System Analysis and Design,BIT 123
Technopreneurship,TCP 241
Complier & Design Construction,BIT 354
Artificial Intelligence,BIT 353
Software Engineering,BIT 244
Cyber Security Law & Policy,CSLPA 232
Cryptography,CRPT 351
Multimedia System using VFX,BIT 364
Leadership Skills and Human Relations,BIT 112
Research Methods,BIT 356
Social Values & Ethics in Profession,BIT 366
Mobile Computing,BIT 351
Software Project Management,BIT 362
Management Information System,BIT 471
System Software & Administration,CSA 356
Cloud Computing,BIT 361
Final Year Project,BIT 355
Industrial Training,IDT-366
